id,category,text
0,군대,군인 들 은 산재 처리 되나
1,군대,엄청 많이 다치잖아
2,군대,군인 들 은 나라 사랑 카드 발급 받으면 최대 만원 까지 보험 처리 되는데 죽어야 주는 걸 로 알 고 있음
3,군대,군인 산재 어딨냐 걍 국군 병원 고고 지
4,군대,죽어야 나중 아들 낳으면 꽁꽁 숨겨 놔야지 안되겠어
5,군대,국군 병원 가서 다칠 거 평생 불구 되서 나오는 것 보단 휴가 끊고 바로 민간 병원 가야 돼
6,군대,요즘 군대 좋아져서 죽진 않을걸
7,군대,국군 병원 가면 잘 안 해줘 검사 치료
8,군대,요즘 군대 에서 애 들 많이 죽어
9,군대,장비 미숙 지로 걍 만지다 터져 죽고 지뢰 밟아 다리 잘리고 자살 하고 엄청 많아 안 나올 뿐 이지 뉴스
10,군대,난리 났대 국군 은 의예 과 나오긴 하는데 사회 보단
11,군대,우리 오빠 때 엄청 많았다 그러는데 지금 은 내 뭐 들을 사람 없으니까 몰랐네
12,군대,안 주변 에서 걍 다리 삐 고 다친 거 민간 병원 에서 치료 받으면 끝나는 거 간부 들 안 보내줘서 억지로 군 병원 다니다 평생 다리 절 고 다니고 그러는 형 들 많아
13,군대,그건 군대 기사도 잘 안 나더라
14,군대,미쳤네 어린 나이 끌려가는 것 억울할 텐데 몸 성 치 못 하면 억울할 듯
15,군대,군대 민간 병원 설치 를 해줘야 해
16,군대,군 인들 싸다고 쓰면 안되는데 그것 걱정 이야 가뜩이나 고생 하는데
17,군대,무조건 휴가 써서 나갔어
18,군대,휴가 또 마음대로 쓸 수 있는 게 아니지 않아
19,군대,우리 부대 다치면 바로바로 내보내주긴 했음
20,군대,마저도 군 병원 가서 진단 서 끊어 와야지
21,군대,그건 지금 코로나 라서 더 안될 듯
22,군대,우선 군 병원 한번 들르긴 해야 하구나
23,군대,무조건 들러서 의사 군인 소견 서 떼 와야 함
24,군대,뭔가 믿음 부족해 군대 자체
25,군대,군대 안 가는 거 감사함
26,군대,돈 제대로 주고 제대로 대우 해줬으면 간부 들 병사 들 그렇게 진료 해주진 않을 듯
27,군대,대학 선배 중 저체중 갈려고 설사약 먹는 애 있었음
28,군대,군대 에서 돈 모으는 건 대단하지 월급 몇 푼 이라고
29,군대,에엥 멋있다 나도 동생 군대 에서 첫 휴가 때 동생 용동 줌 소중하게 보관 중 감동 받아서
30,군대,보다 많이 벌어 군대 월급 많이 줌
